91: /rude (Function Address: 0x004F6A00, Restriction: 0, Category: 2)
92: /flipoff (Function Address: 0x004F6A00, Restriction: 0, Category: 2)
93: /bird (Function Address: 0x004F6A00, Restriction: 0, Category: 2)
94: /finger (Function Address: 0x004F6A00, Restriction: 0, Category: 2)
95: /agree (Function Address: 0x004F6A82, Restriction: 0, Category: 2)
96: /amaze (Function Address: 0x004F6AB7, Restriction: 0, Category: 2)
97: /apologize (Function Address: 0x004F6AEC, Restriction: 0, Category: 2)
98: /applaud (Function Address: 0x004F6B21, Restriction: 0, Category: 2)
99: /plead (Function Address: 0x004F6B56, Restriction: 0, Category: 2)
100: /bite (Function Address: 0x004F6B8B, Restriction: 0, Category: 2)
101: /bleed (Function Address: 0x004F6BC0, Restriction: 0, Category: 2)
102: /blink (Function Address: 0x004F6BF5, Restriction: 0, Category: 2)
103: /blush (Function Address: 0x004F6C2A, Restriction: 0, Category: 2)
104: /boggle (Function Address: 0x004F6C5F, Restriction: 0, Category: 2)
105: /bonk (Function Address: 0x004F6C94, Restriction: 0, Category: 2)
106: /bored (Function Address: 0x004F6CC9, Restriction: 0, Category: 2)
107: /brb (Function Address: 0x004F6CFE, Restriction: 0, Category: 2)
108: /burp (Function Address: 0x004F6D33, Restriction: 0, Category: 2)
109: /bye (Function Address: 0x004F6D68, Restriction: 0, Category: 2)
110: /cackle (Function Address: 0x004F6D9D, Restriction: 0, Category: 2)
111: /calm (Function Address: 0x004F6DD2, Restriction: 0, Category: 2)
112: /clap (Function Address: 0x004F6E07, Restriction: 0, Category: 2)
113: /comfort (Function Address: 0x004F6E3C, Restriction: 0, Category: 2)
114: /congratulate (Function Address: 0x004F6E71, Restriction: 0, Category: 2)
115: /cough (Function Address: 0x004F6EA6, Restriction: 0, Category: 2)
116: /cringe (Function Address: 0x004F6EDB, Restriction: 0, Category: 2)
117: /curious (Function Address: 0x004F6F10, Restriction: 0, Category: 2)
118: /dance (Function Address: 0x004F6F45, Restriction: 0, Category: 2)
119: /drool (Function Address: 0x004F6F7A, Restriction: 0, Category: 2)
120: /duck (Function Address: 0x004F6FAF, Restriction: 0, Category: 2)
121: /eye (Function Address: 0x004F6FE4, Restriction: 0, Category: 2)
